Loss_function,Iteration,Pred_len,MSE,RMSE,MAE,RSE
MSE,1,24,16985792.0,4121.38232421875,2496.073486328125,0.20492342114448547
MSE,2,24,17081510.0,4132.978515625,2512.750732421875,0.2055000215768814
MSE,1,96,32090126.0,5664.81494140625,3605.6455078125,0.2821098268032074
MSE,2,96,30851792.0,5554.43896484375,3590.121826171875,0.2766130566596985
MSE,1,168,34459020.0,5870.1806640625,3796.603759765625,0.29248058795928955
MSE,2,168,34592652.0,5881.5517578125,3791.634033203125,0.293047159910202
MAE,1,24,16664811.0,4082.255615234375,2382.84765625,0.2029779702425003
MAE,2,24,16560891.0,4069.507568359375,2383.038818359375,0.2023441195487976
MAE,1,96,32430748.0,5694.80029296875,3479.5068359375,0.28360307216644287
MAE,2,96,32018532.0,5658.4921875,3498.434326171875,0.2817949056625366
MAE,1,168,35292464.0,5940.74609375,3712.25,0.2959965169429779
MAE,2,168,36063476.0,6005.287109375,3750.322509765625,0.299212247133255
